step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744221.739843,-1466418.587005,-722196.847161,0.000000e+00,-1140.153652,589.397909,581.216828,1.243,4.270,0.534
2,0.002000,744203.571289,-1466404.122407,-722200.551118,5.128735e-06,-1140.103025,589.353473,581.355358,1.037,15.453,0.281
3,0.003000,744185.474252,-1466389.101562,-722203.627310,9.388228e-06,-1139.991191,589.292857,581.508835,0.688,6.178,0.198
4,0.004000,744167.245477,-1466373.535488,-722206.290011,1.307517e-05,-1139.852058,589.225358,581.648215,0.581,4.219,0.140
5,0.005000,744148.395446,-1466357.435137,-722209.039690,1.688256e-05,-1139.723545,589.196628,581.742136,0.610,4.014,0.125
6,0.006000,744129.472849,-1466340.811118,-722211.338269,2.006532e-05,-1139.642793,589.234507,581.799337,0.588,3.881,0.104
7,0.007000,744110.487490,-1466323.671996,-722213.184506,2.262173e-05,-1139.560294,589.305098,581.852083,0.600,3.717,0.135
8,0.008000,744090.499223,-1466306.035781,-722215.536558,2.587853e-05,-1139.436060,589.388396,581.926220,0.588,3.955,0.141
9,0.009000,744068.654842,-1466287.932642,-722219.277799,3.105890e-05,-1139.309651,589.490062,581.973899,0.595,3.646,0.102
10,0.010000,744045.679586,-1466269.400501,-722223.720915,3.721112e-05,-1139.193288,589.594631,581.995292,2.257,4.233,0.197
11,0.011000,744022.685808,-1466250.482895,-722227.797087,4.285525e-05,-1139.076371,589.690166,582.027586,0.600,3.959,0.110
12,0.012000,744000.067244,-1466231.221597,-722231.154353,4.750393e-05,-1138.910939,589.791312,582.041032,0.606,3.864,0.146
13,0.013000,743978.203345,-1466211.674176,-722233.470830,5.071148e-05,-1138.741916,589.904405,581.996266,0.579,3.748,0.115
14,0.014000,743956.355344,-1466191.884899,-722235.529555,5.356212e-05,-1138.587730,589.982989,581.848524,0.612,3.823,0.119
15,0.015000,743934.704548,-1466171.886531,-722237.181983,5.585018e-05,-1138.438310,590.033054,581.653795,0.600,4.649,0.185
16,0.016000,743914.282525,-1466151.694331,-722237.411806,5.616840e-05,-1138.313571,590.068887,581.465156,0.594,3.821,0.128
17,0.017000,743894.075177,-1466131.303281,-722237.228104,5.591404e-05,-1138.190744,590.174852,581.310982,0.595,3.929,0.171
18,0.018000,743873.452451,-1466110.684902,-722237.232451,5.592006e-05,-1138.049061,590.412952,581.176302,0.581,3.749,0.150
19,0.019000,743853.113628,-1466089.812750,-722236.699122,5.518158e-05,-1137.891321,590.643068,581.038957,0.584,3.729,0.120
20,0.020000,743832.423166,-1466068.646067,-722236.222901,5.452217e-05,-1137.759778,590.831505,580.975710,0.587,3.793,0.113
21,0.021000,743811.353854,-1466047.148727,-722235.794872,5.392949e-05,-1137.660583,591.033076,580.949729,0.572,3.666,0.098
22,0.022000,743790.770963,-1466025.277007,-722234.506044,5.214490e-05,-1137.601327,591.191831,580.902788,0.591,3.815,0.122
23,0.023000,743770.750532,-1466002.994136,-722232.243604,4.901218e-05,-1137.567785,591.324962,580.876660,0.609,3.827,0.165
24,0.024000,743749.804677,-1465980.265306,-722230.460629,4.654336e-05,-1137.506794,591.454934,580.878399,0.594,3.966,0.107
25,0.025000,743728.211605,-1465957.062919,-722228.851314,4.431500e-05,-1137.455424,591.555053,580.871769,0.612,3.766,0.119
26,0.026000,743706.716718,-1465933.366966,-722226.650248,4.126726e-05,-1137.413028,591.619017,580.885734,0.574,3.910,0.122
27,0.027000,743684.298116,-1465909.175244,-722224.877128,3.881209e-05,-1137.370018,591.628514,580.938948,0.588,3.759,0.106
28,0.028000,743661.882451,-1465884.474993,-722222.592541,3.564870e-05,-1137.384428,591.657657,581.031025,0.598,3.820,0.126
29,0.029000,743639.935819,-1465859.266027,-722219.330208,3.113147e-05,-1137.428987,591.727342,581.216210,0.583,3.738,0.101
30,0.030000,743617.847897,-1465833.551686,-722215.703789,2.611009e-05,-1137.480652,591.768920,581.443743,0.600,3.843,0.139
31,0.031000,743595.651635,-1465807.341616,-722211.689981,2.055232e-05,-1137.503899,591.793087,581.610520,0.551,3.690,0.093
32,0.032000,743572.885410,-1465780.655321,-722207.769911,1.512434e-05,-1137.506935,591.802391,581.763779,0.600,3.986,0.141
33,0.033000,743549.178162,-1465753.518960,-722204.340798,1.037617e-05,-1137.507137,591.799664,581.861602,0.583,3.665,0.118
34,0.034000,743526.298167,-1465725.952726,-722199.654559,3.887303e-06,-1137.493566,591.825477,581.873954,0.586,3.695,0.103
35,0.035000,743504.949754,-1465697.982797,-722193.033043,5.281272e-06,-1137.487678,591.827511,581.906644,0.562,3.786,0.116
36,0.036000,743483.433521,-1465669.641610,-722186.208089,1.473154e-05,-1137.436343,591.771514,581.979819,0.603,3.633,0.160
