step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744232.740767,-1478006.796361,-733774.055594,0.000000e+00,-1140.143420,589.432351,581.196900,45.174,1.031,0.027
2,0.002000,744232.740771,-1477978.776897,-733746.036126,3.818542e-05,-1140.143418,589.432354,581.196705,1.547,0.654,0.089
3,0.003000,744232.740775,-1477935.373348,-733702.632573,9.733653e-05,-1140.143415,589.432358,581.196511,1.268,0.228,0.052
4,0.004000,744232.740779,-1477876.754515,-733644.013736,1.772233e-04,-1140.143413,589.432362,581.196317,1.035,0.423,0.054
5,0.005000,744232.740783,-1477803.103243,-733570.362460,2.775965e-04,-1140.143411,589.432366,581.196123,1.066,6.503,0.074
6,0.006000,744232.740788,-1477714.503681,-733481.762893,3.983416e-04,-1140.143409,589.432369,581.195928,1.577,0.208,0.051
7,0.007000,744232.740792,-1477610.910799,-733378.170007,5.395197e-04,-1140.143407,589.432373,581.195734,0.980,1.443,0.050
8,0.008000,744232.740796,-1477492.206459,-733259.465663,7.012921e-04,-1140.143405,589.432377,581.195540,1.129,0.842,0.050
9,0.009000,744232.740800,-1477358.309213,-733125.568413,8.837696e-04,-1140.143403,589.432380,581.195345,0.950,0.600,0.035
10,0.010000,744232.740805,-1477209.288395,-732976.547590,1.086858e-03,-1140.143400,589.432384,581.195151,0.902,13.773,0.047
11,0.011000,744232.740809,-1477045.414617,-732812.673808,1.310188e-03,-1140.143398,589.432388,581.194957,1.042,0.269,0.046
12,0.012000,744232.740813,-1476867.090898,-732634.350085,1.553210e-03,-1140.143396,589.432392,581.194762,0.986,6.976,0.046
13,0.013000,744232.740817,-1476674.692541,-732441.951724,1.815414e-03,-1140.143394,589.432396,581.194568,0.978,6.247,0.045
14,0.014000,744232.740822,-1476468.436955,-732235.696132,2.096503e-03,-1140.143392,589.432399,581.194374,0.943,0.462,0.048
15,0.015000,744232.740828,-1476248.370169,-732015.629341,2.396414e-03,-1140.143390,589.432403,581.194180,1.102,0.175,0.047
16,0.016000,744232.740834,-1476014.440743,-731781.699908,2.715217e-03,-1140.143388,589.432407,581.193986,2.766,14.752,0.178
17,0.017000,744232.740841,-1475766.582692,-731533.841851,3.053002e-03,-1140.143385,589.432411,581.193792,0.938,30.525,0.054
18,0.018000,744232.740847,-1475504.748282,-731272.007435,3.409835e-03,-1140.143383,589.432415,581.193598,1.089,18.753,0.043
19,0.019000,744232.740853,-1475228.872215,-730996.131362,3.785803e-03,-1140.143381,589.432419,581.193404,0.981,0.175,0.044
20,0.020000,744232.740859,-1474938.810218,-730706.069359,4.181105e-03,-1140.143379,589.432423,581.193210,0.894,0.169,0.037
21,0.021000,744232.740866,-1474634.339784,-730401.598919,4.596042e-03,-1140.143377,589.432427,581.193016,1.174,0.239,0.038
