step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,29605.049445,-58820.282042,-29215.232597,0.000000e+00,-23.329028,95.414901,-127.674408,0.101,2.642,0.356
2,0.002000,29604.329181,-58819.664165,-29215.334984,3.504607e-06,-23.376016,95.455439,-127.669877,0.207,1.974,0.381
3,0.003000,29603.581681,-58819.047881,-29215.466200,7.995960e-06,-23.426490,95.493122,-127.668116,0.156,1.569,0.286
4,0.004000,29602.847931,-58818.433662,-29215.585731,1.208735e-05,-23.480706,95.537323,-127.669472,0.164,0.965,0.281
5,0.005000,29602.131636,-58817.822050,-29215.690414,1.567051e-05,-23.533668,95.584956,-127.671995,0.124,0.596,0.108
6,0.006000,29601.386459,-58817.213472,-29215.827013,2.034613e-05,-23.589575,95.626811,-127.677518,0.416,1.046,0.106
7,0.007000,29600.611438,-58816.608282,-29215.996844,2.615920e-05,-23.648695,95.660219,-127.681760,0.172,1.596,0.275
8,0.008000,29599.829694,-58816.006768,-29216.177073,3.232823e-05,-23.703662,95.689448,-127.685202,0.110,1.765,0.587
9,0.009000,29599.026781,-58815.409423,-29216.382643,3.936460e-05,-23.756993,95.717771,-127.696252,0.102,2.379,0.266
10,0.010000,29598.252881,-58814.816367,-29216.563486,4.555464e-05,-23.811997,95.745037,-127.704379,0.117,1.376,0.318
11,0.011000,29597.576813,-58814.227721,-29216.650908,4.854699e-05,-23.864517,95.768206,-127.709020,0.095,1.382,0.810
12,0.012000,29596.960320,-58813.643458,-29216.683138,4.965018e-05,-23.916492,95.788705,-127.716115,0.096,0.608,0.115
13,0.013000,29596.372618,-58813.063726,-29216.691109,4.992300e-05,-23.972243,95.810976,-127.722959,0.096,2.017,0.100
14,0.014000,29595.814182,-58812.488406,-29216.674224,4.934508e-05,-24.031106,95.837882,-127.730053,0.094,1.565,0.121
15,0.015000,29595.244342,-58811.917369,-29216.673028,4.930411e-05,-24.090211,95.870356,-127.733325,0.141,1.157,0.111
16,0.016000,29594.689996,-58811.350407,-29216.660411,4.887226e-05,-24.147009,95.901340,-127.734821,0.434,1.775,0.322
17,0.017000,29594.142953,-58810.787173,-29216.644220,4.831805e-05,-24.200920,95.930107,-127.737354,0.264,3.559,0.362
18,0.018000,29593.620066,-58810.227460,-29216.607394,4.705757e-05,-24.249823,95.960670,-127.739866,1.002,4.228,0.330
19,0.019000,29593.142295,-58809.670776,-29216.528480,4.435644e-05,-24.296661,95.990195,-127.743377,0.241,1.540,0.451
20,0.020000,29592.656399,-58809.116911,-29216.460512,4.202996e-05,-24.342680,96.022236,-127.746382,0.386,1.776,0.233
21,0.021000,29592.182770,-58808.565379,-29216.382609,3.936345e-05,-24.392153,96.058826,-127.751317,2.378,1.315,0.539
22,0.022000,29591.698903,-58808.015994,-29216.317091,3.712085e-05,-24.448251,96.099283,-127.757938,0.096,0.807,1.108
23,0.023000,29591.191003,-58807.468251,-29216.277247,3.575706e-05,-24.501900,96.142791,-127.766831,0.093,1.683,0.120
24,0.024000,29590.674059,-58806.921738,-29216.247679,3.474498e-05,-24.547819,96.186378,-127.774727,0.094,0.671,0.098
25,0.025000,29590.140587,-58806.376197,-29216.235610,3.433187e-05,-24.585972,96.231259,-127.775921,0.093,1.067,0.099
26,0.026000,29589.573223,-58805.831500,-29216.258276,3.510771e-05,-24.623457,96.279209,-127.774247,0.143,2.877,0.505
27,0.027000,29588.978828,-58805.287792,-29216.308964,3.684269e-05,-24.666173,96.327553,-127.771210,0.279,0.788,0.113
28,0.028000,29588.402647,-58804.745225,-29216.342578,3.799324e-05,-24.706915,96.373360,-127.770367,0.156,0.601,0.079
29,0.029000,29587.858733,-58804.203959,-29216.345226,3.808389e-05,-24.743161,96.418942,-127.773335,0.099,1.487,0.095
30,0.030000,29587.329113,-58803.664190,-29216.335077,3.773649e-05,-24.781328,96.467264,-127.776673,0.094,0.891,0.092
31,0.031000,29586.780654,-58803.126582,-29216.345929,3.810793e-05,-24.820996,96.508881,-127.781472,0.092,0.606,0.089
32,0.032000,29586.239727,-58802.591508,-29216.351781,3.830825e-05,-24.861076,96.546306,-127.788427,0.099,1.037,0.090
33,0.033000,29585.702030,-58802.059573,-29216.357543,3.850546e-05,-24.900547,96.592049,-127.793087,0.162,0.662,0.232
34,0.034000,29585.164391,-58801.531408,-29216.367017,3.882975e-05,-24.938707,96.642654,-127.794302,0.093,0.688,0.089
35,0.035000,29584.644999,-58801.007524,-29216.362525,3.867600e-05,-24.977283,96.692356,-127.793648,0.092,0.577,0.101
36,0.036000,29584.154666,-58800.488487,-29216.333821,3.769351e-05,-25.015877,96.736637,-127.794277,0.094,1.101,0.174
37,0.037000,29583.663363,-58799.974828,-29216.311465,3.692829e-05,-25.048333,96.773574,-127.802096,0.093,0.569,0.083
38,0.038000,29583.133498,-58799.467093,-29216.333595,3.768575e-05,-25.070641,96.807885,-127.815524,0.094,0.563,0.104
39,0.039000,29582.609905,-58798.965925,-29216.356020,3.845335e-05,-25.090743,96.842411,-127.829001,0.091,0.620,0.091
40,0.040000,29582.162942,-58798.471899,-29216.308957,3.684242e-05,-25.113344,96.873318,-127.841976,0.094,0.574,0.109
41,0.041000,29581.820328,-58797.985582,-29216.165254,3.192366e-05,-25.138152,96.904502,-127.860225,0.117,0.576,0.093
42,0.042000,29581.483572,-58797.507686,-29216.024115,2.709265e-05,-25.163421,96.933309,-127.882992,0.092,0.532,0.063
43,0.043000,29581.078835,-58797.038849,-29215.960015,2.489860e-05,-25.190142,96.951531,-127.905942,0.094,0.558,0.090
44,0.044000,29580.647175,-58796.579775,-29215.932600,2.396021e-05,-25.221778,96.964010,-127.928029,0.091,0.563,0.126
45,0.045000,29580.243025,-58796.131288,-29215.888263,2.244262e-05,-25.255371,96.976514,-127.947355,0.098,0.590,0.271
46,0.046000,29579.872570,-58795.693994,-29215.821424,2.015480e-05,-25.287820,96.989797,-127.964309,0.099,0.577,0.098
47,0.047000,29579.540153,-58795.268669,-29215.728516,1.697468e-05,-25.322014,97.005537,-127.976331,0.092,0.554,0.075
48,0.048000,29579.241937,-58794.855893,-29215.613956,1.305344e-05,-25.352493,97.022964,-127.981151,0.094,0.558,0.117
49,0.049000,29578.964686,-58794.456178,-29215.491492,8.861670e-06,-25.377288,97.038553,-127.981108,0.091,0.535,0.069
50,0.050000,29578.696641,-58794.070165,-29215.373525,4.823786e-06,-25.401372,97.053138,-127.978392,0.092,0.567,0.087
51,0.051000,29578.468526,-58793.698563,-29215.230037,8.759800e-08,-25.426271,97.066814,-127.978338,0.089,0.539,0.072
52,0.052000,29578.323073,-58793.341799,-29215.018726,7.320509e-06,-25.451924,97.078316,-127.983422,0.091,0.547,0.084
53,0.053000,29578.210616,-58793.000317,-29214.789701,1.515975e-05,-25.477661,97.086640,-127.992800,0.099,0.611,0.083
54,0.054000,29578.061533,-58792.674312,-29214.612779,2.121557e-05,-25.508124,97.095043,-128.008192,0.093,0.569,0.082
55,0.055000,29577.854025,-58792.364163,-29214.510138,2.472884e-05,-25.541240,97.106348,-128.026963,0.091,0.562,0.076
56,0.056000,29577.631378,-58792.069935,-29214.438557,2.717894e-05,-25.571243,97.118218,-128.045939,0.091,0.532,0.088
57,0.057000,29577.444036,-58791.791623,-29214.347587,3.029275e-05,-25.599844,97.128021,-128.063978,0.089,0.546,0.068
58,0.058000,29577.306706,-58791.529103,-29214.222397,3.457785e-05,-25.627253,97.138573,-128.076240,0.091,0.526,0.082
59,0.059000,29577.201673,-58791.282206,-29214.080532,3.943369e-05,-25.654532,97.154952,-128.084358,0.091,0.555,0.098
