step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744232.560954,-1466418.587043,-722186.026088,0.000000e+00,-1140.159706,589.418175,581.149771,8.077,0.789,0.028
2,0.002000,744232.560959,-1466390.179344,-722157.618385,3.933571e-05,-1140.159703,589.418178,581.149577,1.912,0.251,0.068
3,0.003000,744232.560963,-1466347.272020,-722114.711057,9.874884e-05,-1140.159701,589.418182,581.149383,1.102,0.300,0.056
4,0.004000,744232.560967,-1466289.874294,-722057.313327,1.782266e-04,-1140.159699,589.418186,581.149188,1.077,0.242,0.055
5,0.005000,744232.560971,-1466218.000640,-721985.439669,2.777490e-04,-1140.159697,589.418189,581.148994,1.329,0.280,0.048
6,0.006000,744232.560975,-1466131.670041,-721899.109066,3.972896e-04,-1140.159695,589.418193,581.148800,1.379,0.300,0.073
7,0.007000,744232.560979,-1466030.906416,-721798.345437,5.368155e-04,-1140.159693,589.418197,581.148606,1.356,0.276,0.051
8,0.008000,744232.560984,-1465915.741312,-721683.180328,6.962829e-04,-1140.159691,589.418200,581.148411,1.293,0.259,0.059
9,0.009000,744232.560988,-1465786.217280,-721553.656292,8.756328e-04,-1140.159688,589.418204,581.148217,1.025,0.258,0.053
10,0.010000,744232.560992,-1465642.389747,-721409.828755,1.074789e-03,-1140.159686,589.418208,581.148023,1.133,0.240,0.051
11,0.011000,744232.560996,-1465484.325972,-721251.764976,1.293657e-03,-1140.159684,589.418212,581.147828,1.195,0.252,0.081
12,0.012000,744232.561000,-1465312.100591,-721079.539591,1.532135e-03,-1140.159682,589.418215,581.147634,1.363,0.269,0.058
13,0.013000,744232.561005,-1465125.789412,-720893.228408,1.790117e-03,-1140.159680,589.418219,581.147440,1.105,0.275,0.052
14,0.014000,744232.561010,-1464925.461738,-720692.900728,2.067508e-03,-1140.159678,589.418223,581.147246,1.272,0.284,0.082
15,0.015000,744232.561016,-1464711.175376,-720478.614361,2.364227e-03,-1140.159676,589.418227,581.147052,1.052,0.276,0.076
16,0.016000,744232.561021,-1464482.973865,-720250.412844,2.680214e-03,-1140.159673,589.418231,581.146858,1.066,0.243,0.061
17,0.017000,744232.561027,-1464240.886055,-720008.325027,3.015430e-03,-1140.159671,589.418235,581.146664,1.138,0.397,0.054
18,0.018000,744232.561033,-1463984.927289,-719752.366256,3.369852e-03,-1140.159669,589.418239,581.146470,1.306,0.276,0.080
19,0.019000,744232.561040,-1463715.102228,-719482.541188,3.743474e-03,-1140.159667,589.418242,581.146276,1.294,0.467,0.064
20,0.020000,744232.561046,-1463431.408431,-719198.847385,4.136301e-03,-1140.159665,589.418246,581.146082,1.079,0.281,0.067
21,0.021000,744232.561052,-1463133.840894,-718901.279842,4.548338e-03,-1140.159663,589.418250,581.145888,1.381,0.315,0.097
22,0.022000,744232.561058,-1462822.397465,-718589.836406,4.979589e-03,-1140.159660,589.418254,581.145694,1.287,0.465,0.059
23,0.023000,744232.561065,-1462497.082985,-718264.521920,5.430047e-03,-1140.159658,589.418258,581.145500,1.023,0.246,0.048
24,0.024000,744232.561071,-1462157.912329,-717925.351258,5.899692e-03,-1140.159656,589.418262,581.145306,1.044,0.350,0.049
25,0.025000,744232.561077,-1461804.910864,-717572.349787,6.388487e-03,-1140.159654,589.418266,581.145111,1.346,0.287,0.056
26,0.026000,744232.561083,-1461438.113934,-717205.552851,6.896385e-03,-1140.159651,589.418270,581.144917,1.249,0.313,0.099
27,0.027000,744232.561090,-1461057.564742,-716825.003652,7.423326e-03,-1140.159649,589.418274,581.144723,1.307,0.310,0.059
28,0.028000,744232.561096,-1460663.313673,-716430.752577,7.969240e-03,-1140.159647,589.418278,581.144529,1.127,0.258,0.052
29,0.029000,744232.561102,-1460255.417880,-716022.856777,8.534047e-03,-1140.159645,589.418282,581.144335,1.226,0.320,0.062
30,0.030000,744232.561109,-1459833.941619,-715601.380510,9.117659e-03,-1140.159642,589.418285,581.144141,1.133,0.269,0.051
31,0.031000,744232.561115,-1459398.956554,-715166.395439,9.719976e-03,-1140.159640,589.418289,581.143947,1.097,0.255,0.056
32,0.032000,744232.561121,-1458950.541730,-714717.980609,1.034089e-02,-1140.159638,589.418293,581.143753,1.442,0.350,0.059
33,0.033000,744232.561127,-1458488.783170,-714256.222043,1.098028e-02,-1140.159636,589.418297,581.143559,1.380,0.357,0.054
34,0.034000,744232.561134,-1458013.773581,-713781.212448,1.163802e-02,-1140.159633,589.418301,581.143365,1.244,0.253,0.084
35,0.035000,744232.561140,-1457525.610623,-713293.049483,1.231397e-02,-1140.159631,589.418305,581.143171,1.017,0.264,0.050
36,0.036000,744232.561146,-1457024.395341,-712791.834195,1.300799e-02,-1140.159629,589.418309,581.142977,1.159,0.247,0.110
37,0.037000,744232.561153,-1456510.229082,-712277.667930,1.371995e-02,-1140.159627,589.418313,581.142782,1.322,0.322,0.058
