step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.005000,744241.418693,-1466357.336050,-722115.917357,0.000000e+00,-1140.006029,589.306026,581.342722,95.599,1.856,0.029
2,0.010000,744241.418758,-1465920.535938,-721679.117181,6.048893e-04,-1140.006007,589.306148,581.338683,55.498,0.256,0.075
3,0.015000,744241.419030,-1465127.032772,-720885.613741,1.703748e-03,-1140.005985,589.306271,581.334648,1.765,0.357,11.846
4,0.020000,744241.419528,-1463983.352881,-719741.933353,3.287539e-03,-1140.005964,589.306394,581.330614,85.300,19.488,0.050
5,0.025000,744241.420336,-1462490.817489,-718249.397153,5.354431e-03,-1140.005943,589.306518,581.326586,1.267,1.099,0.049
6,0.030000,744241.421474,-1460651.206513,-716409.785039,7.901962e-03,-1140.005922,589.306643,581.322561,0.999,0.205,0.047
7,0.035000,744241.422849,-1458471.196026,-714229.773177,1.092088e-02,-1140.005901,589.306768,581.318538,0.954,0.433,0.049
8,0.040000,744241.424387,-1455961.478831,-711720.054444,1.439639e-02,-1140.005880,589.306893,581.314518,0.952,0.372,0.052
9,0.045000,744241.426165,-1453133.452813,-708892.026648,1.831270e-02,-1140.005859,589.307019,581.310498,0.936,2.840,0.048
10,0.050000,744241.428236,-1449998.732690,-705757.304454,2.265372e-02,-1140.005838,589.307145,581.306477,0.964,30.373,0.232
11,0.055000,744241.430503,-1446568.474015,-702327.043512,2.740401e-02,-1140.005817,589.307271,581.302451,0.915,16.543,0.034
12,0.060000,744241.432896,-1442854.452957,-698613.020061,3.254726e-02,-1140.005797,589.307399,581.298425,1.047,9.621,0.051
13,0.065000,744241.435437,-1438870.374709,-694628.939272,3.806450e-02,-1140.005776,589.307528,581.294404,0.938,3.233,0.113
14,0.070000,744241.438106,-1434625.952373,-690384.514267,4.394226e-02,-1140.005756,589.307657,581.290386,0.891,15.817,0.044
15,0.075000,744241.440938,-1430129.324947,-685887.884009,5.016928e-02,-1140.005736,589.307788,581.286374,0.889,0.178,0.041
16,0.080000,744241.443982,-1425390.075627,-681148.631645,5.673228e-02,-1140.005716,589.307919,581.282362,0.894,0.167,0.039
17,0.085000,744241.447229,-1420422.842523,-676181.395294,6.361101e-02,-1140.005695,589.308050,581.278343,27.752,9.824,0.041
18,0.090000,744241.450650,-1415244.485113,-671003.034463,7.078210e-02,-1140.005674,589.308182,581.274326,1.093,0.196,0.050
19,0.095000,744241.454265,-1409868.234947,-665626.780681,7.822724e-02,-1140.005654,589.308314,581.270313,0.949,0.385,0.045
20,0.100000,744241.458155,-1404302.806652,-660061.348496,8.593436e-02,-1140.005633,589.308447,581.266295,1.109,0.232,0.052
