step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,741862.664169,-1473613.813302,-731751.149133,0.000000e+00,-1225.527812,-325.215087,108.548364,118.952,1.929,0.030
2,0.002000,741862.664169,-1473585.473970,-731722.809801,3.872810e-05,-1225.527811,-325.215087,108.548363,1.477,0.236,0.055
3,0.003000,741862.664169,-1473543.435572,-731680.771403,9.617714e-05,-1225.527810,-325.215086,108.548363,2.159,0.346,0.064
4,0.004000,741862.664169,-1473487.668308,-731625.004139,1.723878e-04,-1225.527809,-325.215086,108.548362,1.054,30.550,0.052
5,0.005000,741862.664169,-1473418.144606,-731555.480437,2.673979e-04,-1225.527808,-325.215086,108.548361,1.075,0.214,0.034
6,0.006000,741862.664170,-1473334.836179,-731472.172009,3.812459e-04,-1225.527808,-325.215086,108.548360,0.946,0.335,0.058
7,0.007000,741862.664170,-1473237.711609,-731375.047439,5.139749e-04,-1225.527807,-325.215086,108.548360,1.012,24.170,0.057
8,0.008000,741862.664170,-1473126.734512,-731264.070343,6.656345e-04,-1225.527806,-325.215086,108.548359,0.955,0.256,0.049
9,0.009000,741862.664170,-1473001.863043,-731139.198873,8.362819e-04,-1225.527805,-325.215086,108.548358,0.908,0.231,0.047
10,0.010000,741862.664170,-1472863.052055,-731000.387885,1.025979e-03,-1225.527804,-325.215086,108.548357,1.095,2.569,0.047
11,0.011000,741862.664170,-1472710.256311,-730847.592141,1.234787e-03,-1225.527803,-325.215086,108.548357,0.932,26.289,0.048
12,0.012000,741862.664170,-1472543.434919,-730680.770749,1.462763e-03,-1225.527802,-325.215086,108.548356,0.968,0.176,0.046
13,0.013000,741862.664170,-1472362.555536,-730499.891366,1.709950e-03,-1225.527802,-325.215086,108.548355,0.935,1.488,0.050
14,0.014000,741862.664171,-1472167.597362,-730304.933191,1.976377e-03,-1225.527801,-325.215086,108.548355,0.941,4.954,0.048
15,0.015000,741862.664171,-1471958.552418,-730095.888247,2.262054e-03,-1225.527800,-325.215085,108.548354,1.110,0.299,0.046
16,0.016000,741862.664171,-1471735.425452,-729872.761281,2.566976e-03,-1225.527799,-325.215085,108.548353,0.927,4.267,0.049
17,0.017000,741862.664171,-1471498.233082,-729635.568911,2.891120e-03,-1225.527798,-325.215085,108.548352,0.941,0.582,0.052
18,0.018000,741862.664171,-1471247.002355,-729384.338184,3.234448e-03,-1225.527797,-325.215085,108.548352,1.041,0.630,0.042
19,0.019000,741862.664171,-1470981.769582,-729119.105411,3.596911e-03,-1225.527797,-325.215085,108.548351,3.541,9.353,0.064
20,0.020000,741862.664171,-1470702.579271,-728839.915100,3.978448e-03,-1225.527796,-325.215085,108.548350,1.034,0.614,0.056
21,0.021000,741862.664171,-1470409.483618,-728546.819446,4.378988e-03,-1225.527795,-325.215085,108.548350,1.176,0.272,0.060
22,0.022000,741862.664171,-1470102.542560,-728239.878388,4.798449e-03,-1225.527794,-325.215085,108.548349,0.937,7.779,0.038
23,0.023000,741862.664172,-1469781.824605,-727919.160433,5.236738e-03,-1225.527793,-325.215085,108.548348,1.025,0.534,0.055
24,0.024000,741862.664172,-1469447.407738,-727584.743566,5.693747e-03,-1225.527792,-325.215085,108.548347,0.923,0.548,0.047
25,0.025000,741862.664172,-1469099.379485,-727236.715313,6.169357e-03,-1225.527791,-325.215084,108.548347,0.899,1.029,0.041
26,0.026000,741862.664172,-1468737.835422,-726875.171250,6.663437e-03,-1225.527791,-325.215084,108.548346,1.216,0.481,0.038
27,0.027000,741862.664172,-1468362.876760,-726500.212588,7.175850e-03,-1225.527790,-325.215084,108.548345,0.993,0.315,0.048
28,0.028000,741862.664172,-1467974.606809,-726111.942637,7.706454e-03,-1225.527789,-325.215084,108.548345,10.810,1.112,0.051
29,0.029000,741862.664172,-1467573.127720,-725710.463547,8.255109e-03,-1225.527788,-325.215084,108.548344,1.627,0.458,0.045
30,0.030000,741862.664172,-1467158.538647,-725295.874474,8.821680e-03,-1225.527787,-325.215084,108.548343,9.300,12.995,0.057
31,0.031000,741862.664173,-1466730.934689,-724868.270517,9.406037e-03,-1225.527786,-325.215084,108.548342,1.157,0.461,0.051
32,0.032000,741862.664173,-1466290.406380,-724427.742208,1.000806e-02,-1225.527785,-325.215084,108.548342,1.016,0.470,0.055
33,0.033000,741862.664173,-1465837.039754,-723974.375581,1.062762e-02,-1225.527785,-325.215084,108.548341,1.238,0.355,0.064
34,0.034000,741862.664173,-1465370.916715,-723508.252542,1.126462e-02,-1225.527784,-325.215084,108.548340,0.987,70.325,0.049
35,0.035000,741862.664173,-1464892.115638,-723029.451465,1.191894e-02,-1225.527783,-325.215084,108.548340,0.909,1.917,0.044
36,0.036000,741862.664173,-1464400.711420,-722538.047247,1.259049e-02,-1225.527782,-325.215083,108.548339,5.962,3.463,0.049
37,0.037000,741862.664173,-1463896.775667,-722034.111493,1.327916e-02,-1225.527781,-325.215083,108.548338,1.506,0.931,0.060
38,0.038000,741862.664173,-1463380.376987,-721517.712814,1.398486e-02,-1225.527780,-325.215083,108.548337,1.399,0.782,0.050
39,0.039000,741862.664174,-1462851.582203,-720988.918029,1.470750e-02,-1225.527779,-325.215083,108.548337,1.066,0.894,0.048
40,0.040000,741862.664174,-1462310.457541,-720447.793367,1.544699e-02,-1225.527778,-325.215083,108.548336,0.962,18.776,0.048
41,0.041000,741862.664174,-1461757.070487,-719894.406314,1.620324e-02,-1225.527778,-325.215083,108.548335,1.337,0.895,0.049
42,0.042000,741862.664174,-1461191.491913,-719328.827739,1.697616e-02,-1225.527777,-325.215083,108.548335,1.107,1.084,0.071
43,0.043000,741862.664174,-1460613.798030,-718751.133856,1.776562e-02,-1225.527776,-325.215083,108.548334,0.955,4.358,0.053
44,0.044000,741862.664174,-1460024.071092,-718161.406918,1.857154e-02,-1225.527775,-325.215083,108.548333,1.067,0.626,0.054
45,0.045000,741862.664174,-1459422.400219,-717559.736045,1.939377e-02,-1225.527774,-325.215083,108.548332,27.814,23.854,0.070
46,0.046000,741862.664174,-1458808.880684,-716946.216509,2.023220e-02,-1225.527773,-325.215083,108.548332,0.903,2.403,0.042
47,0.047000,741862.664174,-1458183.612395,-716320.948221,2.108668e-02,-1225.527772,-325.215082,108.548331,3.283,0.905,0.047
48,0.048000,741862.664175,-1457546.697867,-715684.033692,2.195708e-02,-1225.527772,-325.215082,108.548330,2.047,8.023,0.044
49,0.049000,741862.664175,-1456898.239772,-715035.575597,2.284325e-02,-1225.527771,-325.215082,108.548329,29.843,43.022,0.047
50,0.050000,741862.664175,-1456238.337763,-714375.673588,2.374506e-02,-1225.527770,-325.215082,108.548329,0.959,0.321,0.045
51,0.051000,741862.664175,-1455567.086033,-713704.421858,2.466238e-02,-1225.527769,-325.215082,108.548328,2.643,8.873,0.051
52,0.052000,741862.664175,-1454884.571253,-713021.907078,2.559510e-02,-1225.527768,-325.215082,108.548327,0.954,8.583,0.050
53,0.053000,741862.664175,-1454190.871853,-712328.207678,2.654310e-02,-1225.527767,-325.215082,108.548327,1.015,0.650,0.047
54,0.054000,741862.664175,-1453486.058620,-711623.394444,2.750628e-02,-1225.527766,-325.215082,108.548326,1.059,0.956,0.057
55,0.055000,741862.664175,-1452770.196780,-710907.532605,2.848457e-02,-1225.527765,-325.215082,108.548325,0.997,16.994,0.104
56,0.056000,741862.664176,-1452043.348962,-710180.684786,2.947787e-02,-1225.527765,-325.215082,108.548324,1.347,0.333,0.084
57,0.057000,741862.664176,-1451305.578118,-709442.913943,3.048610e-02,-1225.527764,-325.215082,108.548324,0.999,0.736,0.043
58,0.058000,741862.664176,-1450556.949508,-708694.285332,3.150916e-02,-1225.527763,-325.215081,108.548323,2.274,0.651,0.643
59,0.059000,741862.664176,-1449797.531977,-707934.867801,3.254697e-02,-1225.527762,-325.215081,108.548322,0.994,16.103,0.044
60,0.060000,741862.664176,-1449027.398621,-707164.734445,3.359942e-02,-1225.527761,-325.215081,108.548322,21.004,14.682,0.051
61,0.061000,741862.664176,-1448246.627942,-706383.963766,3.466641e-02,-1225.527760,-325.215081,108.548321,1.144,0.399,0.046
62,0.062000,741862.664176,-1447455.305412,-705592.641236,3.574782e-02,-1225.527759,-325.215081,108.548320,1.099,0.473,0.050
63,0.063000,741862.664176,-1446653.525218,-704790.861042,3.684352e-02,-1225.527759,-325.215081,108.548319,2.161,0.467,0.124
64,0.064000,741862.664176,-1445841.390847,-703978.726671,3.795337e-02,-1225.527758,-325.215081,108.548319,3.091,0.236,0.050
65,0.065000,741862.664177,-1445019.014737,-703156.350560,3.907722e-02,-1225.527757,-325.215081,108.548318,0.893,87.071,0.045
66,0.066000,741862.664177,-1444186.515442,-702323.851266,4.021490e-02,-1225.527756,-325.215081,108.548317,74.406,0.785,0.047
67,0.067000,741862.664177,-1443344.013641,-701481.349464,4.136625e-02,-1225.527755,-325.215081,108.548317,1.733,4.503,0.125
68,0.068000,741862.664177,-1442491.628382,-700628.964205,4.253110e-02,-1225.527754,-325.215081,108.548316,1.650,0.423,0.107
69,0.069000,741862.664177,-1441629.473590,-699766.809413,4.370931e-02,-1225.527753,-325.215080,108.548315,0.904,1.138,0.049
70,0.070000,741862.664177,-1440757.656733,-698894.992555,4.490072e-02,-1225.527752,-325.215080,108.548314,14.235,15.484,0.049
71,0.071000,741862.664177,-1439876.278464,-698013.614286,4.610520e-02,-1225.527752,-325.215080,108.548314,1.271,0.370,0.050
72,0.072000,741862.664177,-1438985.434054,-697122.769877,4.732262e-02,-1225.527751,-325.215080,108.548313,1.000,35.712,0.046
73,0.073000,741862.664178,-1438085.215212,-696222.551034,4.855284e-02,-1225.527750,-325.215080,108.548312,1.147,0.652,0.107
74,0.074000,741862.664178,-1437175.712240,-695313.048062,4.979576e-02,-1225.527749,-325.215080,108.548312,3.360,7.437,0.048
75,0.075000,741862.664178,-1436257.016304,-694394.352126,5.105123e-02,-1225.527748,-325.215080,108.548311,1.278,0.467,0.057
76,0.076000,741862.664178,-1435329.220634,-693466.556456,5.231914e-02,-1225.527747,-325.215080,108.548310,2.964,51.810,0.076
77,0.077000,741862.664178,-1434392.421100,-692529.756922,5.359936e-02,-1225.527746,-325.215080,108.548310,1.320,0.769,0.072
78,0.078000,741862.664178,-1433446.714753,-691584.050575,5.489175e-02,-1225.527746,-325.215080,108.548309,0.928,2.837,0.053
79,0.079000,741862.664178,-1432492.197608,-690629.533430,5.619618e-02,-1225.527745,-325.215080,108.548308,0.969,0.301,0.062
80,0.080000,741862.664178,-1431528.961441,-689666.297263,5.751252e-02,-1225.527744,-325.215079,108.548308,0.960,0.342,0.049
81,0.081000,741862.664178,-1430557.091277,-688694.427099,5.884066e-02,-1225.527743,-325.215079,108.548307,0.957,1.796,0.048
82,0.082000,741862.664179,-1429576.663585,-687713.999406,6.018050e-02,-1225.527742,-325.215079,108.548306,1.297,0.317,0.049
83,0.083000,741862.664179,-1428587.746253,-686725.082074,6.153194e-02,-1225.527741,-325.215079,108.548306,0.920,8.937,0.041
84,0.084000,741862.664179,-1427590.399830,-685727.735652,6.289490e-02,-1225.527740,-325.215079,108.548305,1.848,22.596,0.115
85,0.085000,741862.664179,-1426584.679789,-684722.015610,6.426930e-02,-1225.527740,-325.215079,108.548305,1.250,0.494,0.050
86,0.086000,741862.664179,-1425570.639026,-683707.974846,6.565507e-02,-1225.527739,-325.215079,108.548304,1.119,0.426,0.039
87,0.087000,741862.664179,-1424548.330326,-682685.666147,6.705214e-02,-1225.527738,-325.215079,108.548303,1.835,0.354,0.056
88,0.088000,741862.664179,-1423517.808335,-681655.144156,6.846044e-02,-1225.527737,-325.215079,108.548303,1.137,0.192,0.045
89,0.089000,741862.664179,-1422479.131296,-680616.467116,6.987988e-02,-1225.527736,-325.215079,108.548302,2.712,11.906,0.051
90,0.090000,741862.664180,-1421432.362644,-679569.698464,7.131038e-02,-1225.527735,-325.215079,108.548302,4.760,0.586,0.149
91,0.091000,741862.664180,-1420377.571835,-678514.907655,7.275184e-02,-1225.527734,-325.215078,108.548301,0.946,4.990,0.047
92,0.092000,741862.664180,-1419314.835733,-677452.171553,7.420416e-02,-1225.527733,-325.215078,108.548300,1.374,1.028,0.049
93,0.093000,741862.664180,-1418244.238609,-676381.574430,7.566722e-02,-1225.527733,-325.215078,108.548300,1.228,2.841,0.044
94,0.094000,741862.664180,-1417165.872378,-675303.208198,7.714090e-02,-1225.527732,-325.215078,108.548299,1.722,1.421,0.174
