step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744232.560954,-1466418.587043,-722186.026088,0.000000e+00,-1140.159706,589.418175,581.149771,20.281,1.211,0.028
2,0.002000,744232.560959,-1466390.179344,-722157.618385,3.933571e-05,-1140.159703,589.418178,581.149577,6.528,2.559,1.976
3,0.003000,744232.560963,-1466347.272020,-722114.711057,9.874884e-05,-1140.159701,589.418182,581.149383,1.129,0.388,0.065
4,0.004000,744232.560967,-1466289.874294,-722057.313327,1.782266e-04,-1140.159699,589.418186,581.149188,0.952,0.273,0.053
5,0.005000,744232.560971,-1466218.000640,-721985.439669,2.777490e-04,-1140.159697,589.418189,581.148994,0.955,0.257,0.046
6,0.006000,744232.560975,-1466131.670041,-721899.109066,3.972896e-04,-1140.159695,589.418193,581.148800,1.186,0.401,0.055
7,0.007000,744232.560979,-1466030.906416,-721798.345437,5.368155e-04,-1140.159693,589.418197,581.148606,1.070,1.027,0.052
8,0.008000,744232.560984,-1465915.741312,-721683.180328,6.962829e-04,-1140.159691,589.418200,581.148411,1.029,0.248,0.057
9,0.009000,744232.560988,-1465786.217280,-721553.656292,8.756328e-04,-1140.159688,589.418204,581.148217,1.254,0.615,0.071
10,0.010000,744232.560992,-1465642.389747,-721409.828755,1.074789e-03,-1140.159686,589.418208,581.148023,1.079,0.192,0.046
11,0.011000,744232.560996,-1465484.325972,-721251.764976,1.293657e-03,-1140.159684,589.418212,581.147828,0.955,0.269,0.044
12,0.012000,744232.561000,-1465312.100591,-721079.539591,1.532135e-03,-1140.159682,589.418215,581.147634,1.144,0.320,0.057
13,0.013000,744232.561005,-1465125.789412,-720893.228408,1.790117e-03,-1140.159680,589.418219,581.147440,0.975,0.271,0.045
14,0.014000,744232.561010,-1464925.461738,-720692.900728,2.067508e-03,-1140.159678,589.418223,581.147246,1.194,0.344,0.054
15,0.015000,744232.561016,-1464711.175376,-720478.614361,2.364227e-03,-1140.159676,589.418227,581.147052,1.268,0.274,0.062
16,0.016000,744232.561021,-1464482.973865,-720250.412844,2.680214e-03,-1140.159673,589.418231,581.146858,0.967,0.413,0.049
17,0.017000,744232.561027,-1464240.886055,-720008.325027,3.015430e-03,-1140.159671,589.418235,581.146664,1.052,0.241,0.051
18,0.018000,744232.561033,-1463984.927289,-719752.366256,3.369852e-03,-1140.159669,589.418239,581.146470,1.031,0.231,0.421
19,0.019000,744232.561040,-1463715.102228,-719482.541188,3.743474e-03,-1140.159667,589.418242,581.146276,1.217,0.228,0.052
20,0.020000,744232.561046,-1463431.408431,-719198.847385,4.136301e-03,-1140.159665,589.418246,581.146082,0.919,0.271,0.046
21,0.021000,744232.561052,-1463133.840894,-718901.279842,4.548338e-03,-1140.159663,589.418250,581.145888,1.138,0.346,0.108
22,0.022000,744232.561058,-1462822.397465,-718589.836406,4.979589e-03,-1140.159660,589.418254,581.145694,1.118,0.195,0.052
23,0.023000,744232.561065,-1462497.082985,-718264.521920,5.430047e-03,-1140.159658,589.418258,581.145500,1.083,0.589,0.053
24,0.024000,744232.561071,-1462157.912329,-717925.351258,5.899692e-03,-1140.159656,589.418262,581.145306,1.218,0.301,0.068
25,0.025000,744232.561077,-1461804.910864,-717572.349787,6.388487e-03,-1140.159654,589.418266,581.145111,0.939,0.262,0.048
26,0.026000,744232.561083,-1461438.113934,-717205.552851,6.896385e-03,-1140.159651,589.418270,581.144917,1.008,0.553,0.062
27,0.027000,744232.561090,-1461057.564742,-716825.003652,7.423326e-03,-1140.159649,589.418274,581.144723,0.963,0.463,0.051
28,0.028000,744232.561096,-1460663.313673,-716430.752577,7.969240e-03,-1140.159647,589.418278,581.144529,1.068,0.216,0.056
29,0.029000,744232.561102,-1460255.417880,-716022.856777,8.534047e-03,-1140.159645,589.418282,581.144335,1.374,0.705,0.112
30,0.030000,744232.561109,-1459833.941619,-715601.380510,9.117659e-03,-1140.159642,589.418285,581.144141,0.976,0.244,0.052
31,0.031000,744232.561115,-1459398.956554,-715166.395439,9.719976e-03,-1140.159640,589.418289,581.143947,1.103,0.596,0.058
32,0.032000,744232.561121,-1458950.541730,-714717.980609,1.034089e-02,-1140.159638,589.418293,581.143753,1.105,0.249,0.055
33,0.033000,744232.561127,-1458488.783170,-714256.222043,1.098028e-02,-1140.159636,589.418297,581.143559,1.131,0.372,0.055
