step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,744231.766698,-1351338.045665,-607106.278967,0.000000e+00,-1139.966410,589.535970,581.037835,56.618,3.335,0.069
2,0.002000,744231.766703,-1351309.777478,-607078.010775,4.656218e-05,-1139.966408,589.535973,581.037641,1.483,0.647,0.062
3,0.003000,744231.766708,-1351270.912217,-607039.145510,1.105794e-04,-1139.966406,589.535977,581.037447,1.183,1.573,0.104
4,0.004000,744231.766712,-1351221.452240,-606989.685528,1.920478e-04,-1139.966404,589.535981,581.037253,1.179,1.546,0.049
5,0.005000,744231.766717,-1351161.401100,-606929.634383,2.909615e-04,-1139.966401,589.535984,581.037059,1.233,0.274,0.050
6,0.006000,744231.766721,-1351090.763638,-606858.996917,4.073126e-04,-1139.966399,589.535988,581.036865,0.903,0.553,0.045
7,0.007000,744231.766727,-1351009.546128,-606777.779401,5.410907e-04,-1139.966397,589.535992,581.036671,0.927,2.093,0.050
8,0.008000,744231.766733,-1350917.756054,-606685.989321,6.922835e-04,-1139.966395,589.535995,581.036478,0.969,3.857,0.053
9,0.009000,744231.766739,-1350815.402336,-606583.635596,8.608762e-04,-1139.966393,589.535999,581.036284,1.066,28.271,0.038
10,0.010000,744231.766745,-1350702.495087,-606470.728342,1.046852e-03,-1139.966391,589.536002,581.036091,0.894,0.166,0.043
11,0.011000,744231.766752,-1350579.045896,-606347.279145,1.250193e-03,-1139.966389,589.536006,581.035897,0.925,6.379,0.045
12,0.012000,744231.766758,-1350445.067472,-606213.300714,1.470876e-03,-1139.966386,589.536010,581.035704,1.030,0.454,0.112
13,0.013000,744231.766764,-1350300.574032,-606068.807268,1.708880e-03,-1139.966384,589.536014,581.035510,0.921,0.172,0.048
14,0.014000,744231.766771,-1350145.581002,-605913.814232,1.964178e-03,-1139.966382,589.536018,581.035316,11.986,8.166,0.123
15,0.015000,744231.766777,-1349980.105111,-605748.338334,2.236743e-03,-1139.966380,589.536021,581.035123,0.944,7.174,0.056
16,0.016000,744231.766783,-1349804.164439,-605572.397656,2.526545e-03,-1139.966378,589.536025,581.034929,0.993,9.893,0.162
17,0.017000,744231.766790,-1349617.778351,-605386.011561,2.833552e-03,-1139.966376,589.536029,581.034735,0.874,34.931,0.042
18,0.018000,744231.766796,-1349420.967524,-605189.200728,3.157731e-03,-1139.966374,589.536033,581.034542,1.091,0.230,0.053
19,0.019000,744231.766802,-1349213.753891,-604981.987088,3.499044e-03,-1139.966372,589.536036,581.034348,0.908,0.194,0.046
20,0.020000,744231.766809,-1348996.160753,-604764.393944,3.857455e-03,-1139.966369,589.536040,581.034154,0.979,0.183,0.041
21,0.021000,744231.766815,-1348768.212626,-604536.445811,4.232921e-03,-1139.966367,589.536044,581.033961,1.089,2.666,0.051
22,0.022000,744231.766821,-1348529.935330,-604298.168509,4.625402e-03,-1139.966365,589.536048,581.033767,0.951,43.146,0.052
23,0.023000,744231.766828,-1348281.355939,-604049.589112,5.034851e-03,-1139.966363,589.536052,581.033573,55.180,0.988,0.174
24,0.024000,744231.766834,-1348022.502856,-603790.736022,5.461223e-03,-1139.966361,589.536056,581.033380,0.947,0.920,0.069
25,0.025000,744231.766840,-1347753.405577,-603521.638737,5.904469e-03,-1139.966359,589.536060,581.033186,24.927,16.233,0.053
26,0.026000,744231.766847,-1347474.095066,-603242.328219,6.364538e-03,-1139.966356,589.536063,581.032992,5.016,1.415,0.126
27,0.027000,744231.766853,-1347184.603310,-602952.836457,6.841376e-03,-1139.966354,589.536067,581.032799,1.843,4.341,0.054
28,0.028000,744231.766859,-1346884.963646,-602653.196787,7.334930e-03,-1139.966352,589.536071,581.032605,2.044,12.063,0.168
29,0.029000,744231.766866,-1346575.210557,-602343.443691,7.845143e-03,-1139.966350,589.536075,581.032411,1.687,4.335,0.057
30,0.030000,744231.766872,-1346255.379673,-602023.612800,8.371955e-03,-1139.966347,589.536079,581.032218,1.839,0.740,0.128
31,0.031000,744231.766879,-1345925.507800,-601693.740921,8.915306e-03,-1139.966345,589.536083,581.032024,3.181,0.473,0.053
32,0.032000,744231.766885,-1345585.632950,-601353.866065,9.475133e-03,-1139.966343,589.536086,581.031830,2.685,0.904,0.049
33,0.033000,744231.766891,-1345235.794199,-601004.027307,1.005137e-02,-1139.966341,589.536090,581.031637,1.116,0.425,0.056
34,0.034000,744231.766898,-1344876.031826,-600644.264928,1.064396e-02,-1139.966338,589.536094,581.031443,12.475,7.469,0.128
35,0.035000,744231.766904,-1344506.387117,-600274.620213,1.125282e-02,-1139.966336,589.536098,581.031249,1.628,27.258,0.048
36,0.036000,744231.766911,-1344126.902504,-599895.135594,1.187789e-02,-1139.966334,589.536102,581.031056,1.042,0.369,0.053
37,0.037000,744231.766917,-1343737.621324,-599505.854407,1.251910e-02,-1139.966331,589.536106,581.030862,1.251,0.430,0.048
38,0.038000,744231.766923,-1343338.588079,-599106.821156,1.317637e-02,-1139.966329,589.536110,581.030669,1.811,0.297,0.134
39,0.039000,744231.766930,-1342929.848052,-598698.081122,1.384963e-02,-1139.966327,589.536113,581.030475,1.514,0.534,0.097
40,0.040000,744231.766936,-1342511.447741,-598279.680805,1.453880e-02,-1139.966325,589.536117,581.030281,0.924,0.266,0.042
41,0.041000,744231.766943,-1342083.434361,-597851.667419,1.524381e-02,-1139.966322,589.536121,581.030088,6.121,33.194,0.051
42,0.042000,744231.766949,-1341645.856101,-597414.089152,1.596457e-02,-1139.966320,589.536125,581.029894,3.310,0.360,0.078
43,0.043000,744231.766955,-1341198.762029,-596966.995074,1.670100e-02,-1139.966318,589.536129,581.029701,1.019,0.637,0.053
44,0.044000,744231.766962,-1340742.202081,-596510.435119,1.745303e-02,-1139.966316,589.536133,581.029507,1.106,49.391,0.052
45,0.045000,744231.766968,-1340276.226923,-596044.459955,1.822056e-02,-1139.966313,589.536137,581.029313,0.938,1.317,0.043
46,0.046000,744231.766975,-1339800.888023,-595569.121049,1.900352e-02,-1139.966311,589.536141,581.029120,0.967,0.215,0.046
47,0.047000,744231.766981,-1339316.237704,-595084.470723,1.980182e-02,-1139.966309,589.536145,581.028926,2.480,0.455,0.300
48,0.048000,744231.766988,-1338822.328882,-594590.561894,2.061536e-02,-1139.966306,589.536149,581.028733,3.257,1.300,0.094
