step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,18564573.591927,0.000000,18564573.591927,0.000000e+00,-482.943956,-4695.257135,894.339458,9.306,48.637,0.786
2,0.002000,18564155.202877,0.000000,18564155.202877,2.253696e-05,-481.459207,-4693.523734,903.570821,6.643,151.096,0.145
3,0.003000,18563762.742037,0.000000,18563762.742037,4.367727e-05,-480.134584,-4692.176906,913.531966,26.241,58.959,8.944
4,0.004000,18563404.902388,0.000000,18563404.902388,6.295267e-05,-478.928428,-4691.062071,922.650543,3.938,25.899,0.328
5,0.005000,18563045.977110,0.000000,18563045.977110,8.228656e-05,-478.162611,-4689.902571,930.528522,7.037,26.811,0.210
6,0.006000,18562676.746752,0.000000,18562676.746752,1.021755e-04,-477.530663,-4688.758561,938.725390,3.701,25.170,0.172
7,0.007000,18562307.585346,0.000000,18562307.585346,1.220608e-04,-476.985814,-4687.394378,947.139269,3.577,26.113,0.141
8,0.008000,18561941.556760,0.000000,18561941.556760,1.417773e-04,-476.802307,-4685.795584,955.062792,3.794,24.147,0.142
9,0.009000,18561567.126863,0.000000,18561567.126863,1.619464e-04,-477.115551,-4683.910482,962.512763,3.414,24.763,0.148
10,0.010000,18561173.747086,0.000000,18561173.747086,1.831362e-04,-477.834542,-4682.063160,969.639815,4.266,24.319,0.146
11,0.011000,18560753.744091,0.000000,18560753.744091,2.057601e-04,-478.375090,-4680.428171,976.315216,3.509,23.908,0.151
12,0.012000,18560297.634140,0.000000,18560297.634140,2.303289e-04,-478.048750,-4679.140298,983.173148,3.769,25.184,0.136
13,0.013000,18559826.807073,0.000000,18559826.807073,2.556905e-04,-477.495618,-4678.155318,990.876895,3.578,25.694,0.134
14,0.014000,18559345.468274,0.000000,18559345.468274,2.816183e-04,-477.172047,-4677.851771,998.343235,3.674,24.820,0.171
15,0.015000,18558849.311854,0.000000,18558849.311854,3.083443e-04,-476.175535,-4677.778820,1005.724965,3.415,24.122,0.137
16,0.016000,18558356.436014,0.000000,18558356.436014,3.348935e-04,-474.316304,-4676.965368,1013.539136,3.445,24.475,0.152
17,0.017000,18557847.455302,0.000000,18557847.455302,3.623103e-04,-472.900227,-4676.223691,1021.572231,3.303,25.161,0.132
18,0.018000,18557326.458635,0.000000,18557326.458635,3.903743e-04,-471.944632,-4675.744755,1029.963319,3.632,24.175,0.133
19,0.019000,18556796.748909,0.000000,18556796.748909,4.189077e-04,-471.461295,-4675.304057,1037.899629,3.388,27.534,0.122
20,0.020000,18556254.611792,0.000000,18556254.611792,4.481105e-04,-471.451193,-4675.599374,1045.323826,3.356,24.203,0.142
21,0.021000,18555702.031609,0.000000,18555702.031609,4.778758e-04,-471.538929,-4676.773029,1052.411008,3.662,24.828,0.158
22,0.022000,18555148.704327,0.000000,18555148.704327,5.076813e-04,-471.582433,-4678.002030,1058.743681,3.728,24.378,0.132
23,0.023000,18554606.791394,0.000000,18554606.791394,5.368720e-04,-471.146151,-4679.617951,1064.581106,3.377,24.182,0.181
24,0.024000,18554082.583014,0.000000,18554082.583014,5.651091e-04,-470.950802,-4681.778378,1070.253367,3.401,24.298,0.143
25,0.025000,18553561.647066,0.000000,18553561.647066,5.931698e-04,-471.162633,-4683.965572,1075.840075,3.361,24.912,0.140
26,0.026000,18553010.475693,0.000000,18553010.475693,6.228592e-04,-471.253373,-4686.159720,1080.618576,3.391,24.099,0.130
27,0.027000,18552445.456183,0.000000,18552445.456183,6.532946e-04,-471.441041,-4687.736379,1084.665035,3.437,24.156,0.168
28,0.028000,18551888.861441,0.000000,18551888.861441,6.832762e-04,-471.799328,-4688.928325,1088.693215,3.594,24.220,0.139
29,0.029000,18551329.692511,0.000000,18551329.692511,7.133964e-04,-472.490206,-4690.914966,1092.924531,3.493,24.689,0.159
30,0.030000,18550760.297355,0.000000,18550760.297355,7.440674e-04,-473.532472,-4693.511780,1097.464734,3.643,24.010,0.145
31,0.031000,18550197.606403,0.000000,18550197.606403,7.743774e-04,-474.598699,-4695.254901,1101.499438,3.434,24.058,0.134
32,0.032000,18549644.201402,0.000000,18549644.201402,8.041871e-04,-475.243323,-4696.874179,1104.970987,3.829,23.940,0.155
33,0.033000,18549075.973309,0.000000,18549075.973309,8.347953e-04,-475.708227,-4698.705347,1108.525178,3.604,23.825,0.130
34,0.034000,18548490.700201,0.000000,18548490.700201,8.663216e-04,-476.474263,-4700.397483,1112.188126,3.443,33.703,0.171
35,0.035000,18547906.490097,0.000000,18547906.490097,8.977907e-04,-477.223498,-4702.151174,1115.783441,3.692,28.616,0.167
36,0.036000,18547314.782350,0.000000,18547314.782350,9.296637e-04,-477.941925,-4703.185618,1119.340898,3.494,24.199,0.145
37,0.037000,18546733.784690,0.000000,18546733.784690,9.609597e-04,-478.277979,-4703.395003,1123.208991,3.354,24.201,0.216
38,0.038000,18546175.728848,0.000000,18546175.728848,9.910200e-04,-477.940655,-4703.185340,1127.221000,3.689,24.112,0.167
39,0.039000,18545599.941342,0.000000,18545599.941342,1.022035e-03,-477.435488,-4702.643413,1131.542247,3.534,24.309,0.129
40,0.040000,18544966.318603,0.000000,18544966.318603,1.056166e-03,-477.020416,-4701.923178,1135.799185,3.542,24.059,0.134
41,0.041000,18544310.147078,0.000000,18544310.147078,1.091511e-03,-476.435351,-4700.904920,1139.414806,3.337,25.446,0.146
42,0.042000,18543664.411225,0.000000,18543664.411225,1.126295e-03,-475.666655,-4699.335732,1143.272698,3.480,23.879,0.140
43,0.043000,18542991.908849,0.000000,18542991.908849,1.162520e-03,-475.239898,-4697.783733,1147.261313,8.260,23.932,0.134
44,0.044000,18542302.432087,0.000000,18542302.432087,1.199659e-03,-475.045691,-4696.769052,1151.366993,3.475,24.390,0.134
45,0.045000,18541627.344931,0.000000,18541627.344931,1.236023e-03,-474.925035,-4696.276053,1155.764383,3.720,24.393,0.174
46,0.046000,18540947.051805,0.000000,18540947.051805,1.272668e-03,-474.770603,-4695.690214,1159.864180,3.290,24.182,0.149
47,0.047000,18540251.812460,0.000000,18540251.812460,1.310118e-03,-474.475733,-4695.152161,1163.658669,3.569,24.239,0.140
48,0.048000,18539557.398442,0.000000,18539557.398442,1.347523e-03,-473.874643,-4694.478711,1167.700999,3.307,24.281,0.137
49,0.049000,18538837.529715,0.000000,18538837.529715,1.386300e-03,-472.780055,-4693.573940,1171.940615,3.755,24.074,0.151
50,0.050000,18538115.865368,0.000000,18538115.865368,1.425173e-03,-471.505637,-4693.051540,1175.996304,3.282,24.464,0.145
51,0.051000,18537437.193456,0.000000,18537437.193456,1.461730e-03,-470.409573,-4693.010436,1180.321743,3.363,24.444,0.144
52,0.052000,18536782.170085,0.000000,18536782.170085,1.497014e-03,-469.244255,-4693.207665,1184.682359,3.701,25.368,0.136
53,0.053000,18536118.539252,0.000000,18536118.539252,1.532761e-03,-467.410606,-4693.256886,1189.164749,3.357,23.892,0.140
54,0.054000,18535423.557408,0.000000,18535423.557408,1.570197e-03,-464.718975,-4693.035996,1193.515355,5.600,23.775,0.140
55,0.055000,18534705.286357,0.000000,18534705.286357,1.608887e-03,-461.556732,-4692.678149,1197.378277,3.572,24.069,0.130
56,0.056000,18533970.001268,0.000000,18533970.001268,1.648494e-03,-458.838347,-4691.817115,1201.118560,3.343,25.343,0.130
57,0.057000,18533214.187364,0.000000,18533214.187364,1.689207e-03,-457.239196,-4690.212720,1204.915162,3.618,31.025,0.143
58,0.058000,18532459.728343,0.000000,18532459.728343,1.729847e-03,-456.532162,-4687.840160,1209.110060,3.708,25.995,0.195
