step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,73981835.929828,0.000000,73981835.929828,0.000000e+00,5722.725348,-2393.839778,-2002.372677,21.832,4.704,0.038
2,0.002000,73981835.929835,0.000000,73981835.929835,9.104025e-14,5722.725347,-2393.839778,-2002.372678,3.169,0.580,0.208
3,0.003000,73981835.929841,0.000000,73981835.929841,1.820805e-13,5722.725346,-2393.839778,-2002.372678,3.058,0.612,0.046
4,0.004000,73981835.929848,0.000000,73981835.929848,2.731208e-13,5722.725345,-2393.839779,-2002.372679,1.733,0.378,0.032
5,0.005000,73981835.929855,0.000000,73981835.929855,3.635568e-13,5722.725345,-2393.839779,-2002.372679,1.532,0.280,0.044
6,0.006000,73981835.929862,0.000000,73981835.929862,4.547984e-13,5722.725344,-2393.839779,-2002.372680,1.730,0.490,0.037
7,0.007000,73981835.929868,0.000000,73981835.929868,5.458387e-13,5722.725343,-2393.839779,-2002.372680,1.579,0.296,0.033
8,0.008000,73981835.929875,0.000000,73981835.929875,6.368789e-13,5722.725342,-2393.839780,-2002.372681,2.163,0.359,0.042
9,0.009000,73981835.929882,0.000000,73981835.929882,7.283220e-13,5722.725342,-2393.839780,-2002.372681,1.601,0.629,0.031
10,0.010000,73981835.929889,0.000000,73981835.929889,8.191608e-13,5722.725341,-2393.839780,-2002.372682,1.820,0.403,0.036
11,0.011000,73981835.929895,0.000000,73981835.929895,9.097983e-13,5722.725340,-2393.839780,-2002.372682,1.575,0.403,0.038
12,0.012000,73981835.929902,0.000000,73981835.929902,1.000839e-12,5722.725339,-2393.839781,-2002.372683,1.524,0.399,0.033
13,0.013000,73981835.929909,0.000000,73981835.929909,1.092080e-12,5722.725339,-2393.839781,-2002.372683,1.632,0.357,0.029
14,0.014000,73981835.929916,0.000000,73981835.929916,1.182919e-12,5722.725338,-2393.839781,-2002.372684,1.776,0.373,0.033
15,0.015000,73981835.929922,0.000000,73981835.929922,1.273758e-12,5722.725337,-2393.839781,-2002.372684,2.120,0.538,0.038
16,0.016000,73981835.929929,0.000000,73981835.929929,1.364194e-12,5722.725336,-2393.839782,-2002.372685,1.805,0.366,0.036
17,0.017000,73981835.929936,0.000000,73981835.929936,1.455234e-12,5722.725336,-2393.839782,-2002.372685,2.250,0.452,0.040
18,0.018000,73981835.929942,0.000000,73981835.929942,1.546073e-12,5722.725335,-2393.839782,-2002.372686,1.960,0.416,0.040
19,0.019000,73981835.929949,0.000000,73981835.929949,1.636912e-12,5722.725334,-2393.839782,-2002.372687,1.637,0.395,0.037
20,0.020000,73981835.929956,0.000000,73981835.929956,1.727751e-12,5722.725333,-2393.839783,-2002.372687,1.560,0.327,0.057
21,0.021000,73981835.929963,0.000000,73981835.929963,1.818589e-12,5722.725333,-2393.839783,-2002.372688,1.510,0.391,0.039
22,0.022000,73981835.929969,0.000000,73981835.929969,1.909227e-12,5722.725332,-2393.839783,-2002.372688,1.679,0.375,0.031
23,0.023000,73981835.929976,0.000000,73981835.929976,2.000469e-12,5722.725331,-2393.839784,-2002.372689,1.657,0.444,0.037
24,0.024000,73981835.929983,0.000000,73981835.929983,2.091307e-12,5722.725330,-2393.839784,-2002.372689,1.992,0.432,0.037
25,0.025000,73981835.929989,0.000000,73981835.929989,2.182146e-12,5722.725330,-2393.839784,-2002.372690,1.664,0.412,0.032
26,0.026000,73981835.929996,0.000000,73981835.929996,2.272985e-12,5722.725329,-2393.839784,-2002.372690,1.775,0.477,0.038
27,0.027000,73981835.930003,0.000000,73981835.930003,2.364025e-12,5722.725328,-2393.839785,-2002.372691,2.141,0.507,0.058
28,0.028000,73981835.930010,0.000000,73981835.930010,2.454461e-12,5722.725327,-2393.839785,-2002.372691,2.143,0.613,0.034
29,0.029000,73981835.930016,0.000000,73981835.930016,2.545703e-12,5722.725327,-2393.839785,-2002.372692,1.440,0.373,0.042
30,0.030000,73981835.930023,0.000000,73981835.930023,2.636945e-12,5722.725326,-2393.839786,-2002.372692,1.732,0.364,0.037
31,0.031000,73981835.930030,0.000000,73981835.930030,2.727582e-12,5722.725325,-2393.839786,-2002.372693,1.522,0.342,0.037
32,0.032000,73981835.930036,0.000000,73981835.930036,2.818219e-12,5722.725325,-2393.839786,-2002.372693,2.472,0.770,0.034
33,0.033000,73981835.930043,0.000000,73981835.930043,2.909058e-12,5722.725324,-2393.839786,-2002.372694,1.647,0.395,0.035
34,0.034000,73981835.930050,0.000000,73981835.930050,2.999897e-12,5722.725323,-2393.839787,-2002.372694,1.507,0.376,0.037
35,0.035000,73981835.930057,0.000000,73981835.930057,3.090736e-12,5722.725322,-2393.839787,-2002.372695,1.671,0.347,0.035
36,0.036000,73981835.930063,0.000000,73981835.930063,3.181776e-12,5722.725322,-2393.839787,-2002.372695,1.846,0.404,0.031
37,0.037000,73981835.930070,0.000000,73981835.930070,3.272615e-12,5722.725321,-2393.839787,-2002.372696,1.582,0.322,0.050
38,0.038000,73981835.930077,0.000000,73981835.930077,3.363051e-12,5722.725320,-2393.839788,-2002.372696,2.241,0.526,0.074
39,0.039000,73981835.930084,0.000000,73981835.930084,3.454091e-12,5722.725319,-2393.839788,-2002.372697,3.203,0.726,0.037
40,0.040000,73981835.930090,0.000000,73981835.930090,3.544729e-12,5722.725319,-2393.839788,-2002.372697,1.998,0.635,0.037
41,0.041000,73981835.930097,0.000000,73981835.930097,3.635970e-12,5722.725318,-2393.839788,-2002.372698,1.736,0.527,0.044
42,0.042000,73981835.930104,0.000000,73981835.930104,3.726205e-12,5722.725317,-2393.839789,-2002.372698,1.530,0.485,0.037
43,0.043000,73981835.930110,0.000000,73981835.930110,3.817044e-12,5722.725316,-2393.839789,-2002.372699,1.610,0.355,0.042
44,0.044000,73981835.930117,0.000000,73981835.930117,3.907883e-12,5722.725316,-2393.839789,-2002.372699,2.179,0.478,0.048
45,0.045000,73981835.930124,0.000000,73981835.930124,3.998319e-12,5722.725315,-2393.839789,-2002.372700,1.709,0.387,0.037
46,0.046000,73981835.930131,0.000000,73981835.930131,4.089762e-12,5722.725314,-2393.839790,-2002.372700,1.542,0.373,0.029
47,0.047000,73981835.930137,0.000000,73981835.930137,4.180601e-12,5722.725313,-2393.839790,-2002.372701,1.473,0.294,0.033
48,0.048000,73981835.930144,0.000000,73981835.930144,4.271842e-12,5722.725313,-2393.839790,-2002.372701,1.719,0.333,0.036
49,0.049000,73981835.930151,0.000000,73981835.930151,4.362480e-12,5722.725312,-2393.839791,-2002.372702,2.447,0.411,0.065
50,0.050000,73981835.930157,0.000000,73981835.930157,4.453520e-12,5722.725311,-2393.839791,-2002.372702,1.652,0.381,0.035
51,0.051000,73981835.930164,0.000000,73981835.930164,4.544359e-12,5722.725310,-2393.839791,-2002.372703,1.570,0.350,0.049
52,0.052000,73981835.930171,0.000000,73981835.930171,4.635198e-12,5722.725310,-2393.839791,-2002.372703,1.871,0.633,0.044
53,0.053000,73981835.930178,0.000000,73981835.930178,4.726238e-12,5722.725309,-2393.839792,-2002.372704,2.695,0.603,0.039
54,0.054000,73981835.930184,0.000000,73981835.930184,4.817077e-12,5722.725308,-2393.839792,-2002.372704,1.660,0.559,0.036
55,0.055000,73981835.930191,0.000000,73981835.930191,4.907714e-12,5722.725307,-2393.839792,-2002.372705,1.693,0.416,0.028
56,0.056000,73981835.930198,0.000000,73981835.930198,4.998150e-12,5722.725307,-2393.839792,-2002.372705,1.645,0.367,0.041
57,0.057000,73981835.930204,0.000000,73981835.930204,5.088989e-12,5722.725306,-2393.839793,-2002.372706,2.192,0.563,0.036
58,0.058000,73981835.930211,0.000000,73981835.930211,5.179223e-12,5722.725305,-2393.839793,-2002.372706,1.586,0.314,0.038
59,0.059000,73981835.930218,0.000000,73981835.930218,5.270264e-12,5722.725304,-2393.839793,-2002.372707,1.617,0.379,0.028
60,0.060000,73981835.930225,0.000000,73981835.930225,5.360901e-12,5722.725304,-2393.839793,-2002.372708,1.550,0.344,0.036
61,0.061000,73981835.930231,0.000000,73981835.930231,5.451740e-12,5722.725303,-2393.839794,-2002.372708,3.107,0.451,0.046
62,0.062000,73981835.930238,0.000000,73981835.930238,5.542982e-12,5722.725302,-2393.839794,-2002.372709,1.893,0.493,0.033
63,0.063000,73981835.930245,0.000000,73981835.930245,5.633820e-12,5722.725302,-2393.839794,-2002.372709,1.830,0.780,0.043
64,0.064000,73981835.930251,0.000000,73981835.930251,5.722041e-12,5722.725301,-2393.839794,-2002.372710,1.627,0.409,0.035
65,0.065000,73981835.930258,0.000000,73981835.930258,5.808046e-12,5722.725300,-2393.839795,-2002.372710,1.707,0.525,0.045
66,0.066000,73981835.930264,0.000000,73981835.930264,5.893849e-12,5722.725299,-2393.839795,-2002.372711,1.698,0.351,0.042
67,0.067000,73981835.930270,0.000000,73981835.930270,5.980055e-12,5722.725299,-2393.839795,-2002.372712,1.550,0.533,0.030
68,0.068000,73981835.930277,0.000000,73981835.930277,6.066463e-12,5722.725298,-2393.839795,-2002.372713,1.749,0.397,0.038
69,0.069000,73981835.930283,0.000000,73981835.930283,6.152065e-12,5722.725297,-2393.839796,-2002.372714,1.918,0.481,0.042
70,0.070000,73981835.930289,0.000000,73981835.930289,6.238070e-12,5722.725296,-2393.839796,-2002.372714,1.780,0.529,0.032
71,0.071000,73981835.930296,0.000000,73981835.930296,6.324075e-12,5722.725296,-2393.839796,-2002.372715,1.584,0.402,0.034
72,0.072000,73981835.930302,0.000000,73981835.930302,6.410080e-12,5722.725295,-2393.839796,-2002.372716,2.313,0.372,0.079
73,0.073000,73981835.930309,0.000000,73981835.930309,6.496084e-12,5722.725294,-2393.839797,-2002.372717,1.592,0.459,0.040
74,0.074000,73981835.930315,0.000000,73981835.930315,6.582089e-12,5722.725293,-2393.839797,-2002.372717,1.584,0.426,0.037
75,0.075000,73981835.930321,0.000000,73981835.930321,6.668296e-12,5722.725293,-2393.839797,-2002.372718,1.794,0.590,0.060
76,0.076000,73981835.930328,0.000000,73981835.930328,6.754300e-12,5722.725292,-2393.839797,-2002.372719,1.974,0.461,0.040
77,0.077000,73981835.930334,0.000000,73981835.930334,6.840104e-12,5722.725291,-2393.839797,-2002.372720,1.534,0.335,0.033
78,0.078000,73981835.930340,0.000000,73981835.930340,6.926310e-12,5722.725290,-2393.839798,-2002.372720,2.240,0.593,0.039
79,0.079000,73981835.930347,0.000000,73981835.930347,7.012315e-12,5722.725290,-2393.839798,-2002.372721,2.099,0.464,0.043
80,0.080000,73981835.930353,0.000000,73981835.930353,7.097917e-12,5722.725289,-2393.839798,-2002.372722,1.781,0.737,0.035
81,0.081000,73981835.930359,0.000000,73981835.930359,7.184123e-12,5722.725288,-2393.839798,-2002.372723,1.918,0.403,0.035
82,0.082000,73981835.930366,0.000000,73981835.930366,7.269524e-12,5722.725287,-2393.839799,-2002.372723,2.765,0.675,0.041
83,0.083000,73981835.930372,0.000000,73981835.930372,7.355327e-12,5722.725287,-2393.839799,-2002.372724,1.775,0.800,0.038
84,0.084000,73981835.930379,0.000000,73981835.930379,7.441735e-12,5722.725286,-2393.839799,-2002.372725,1.665,0.586,0.037
85,0.085000,73981835.930385,0.000000,73981835.930385,7.527941e-12,5722.725285,-2393.839799,-2002.372726,1.923,0.397,0.146
86,0.086000,73981835.930391,0.000000,73981835.930391,7.613543e-12,5722.725284,-2393.839800,-2002.372727,2.171,0.489,0.047
87,0.087000,73981835.930398,0.000000,73981835.930398,7.699346e-12,5722.725284,-2393.839800,-2002.372727,2.698,0.576,0.030
88,0.088000,73981835.930404,0.000000,73981835.930404,7.785150e-12,5722.725283,-2393.839800,-2002.372728,2.095,0.749,0.035
89,0.089000,73981835.930410,0.000000,73981835.930410,7.871155e-12,5722.725282,-2393.839800,-2002.372729,1.473,0.351,0.030
