step,time,kinetic_energy,potential_energy,total_energy,energy_drift,px,py,pz,tree_build_ms,force_ms,integrate_ms
1,0.001000,18565016.945935,0.000000,18565016.945935,0.000000e+00,-483.942630,-4696.119467,889.991252,31.291,3.486,0.035
2,0.002000,18565016.945935,0.000000,18565016.945935,4.815884e-15,-483.942634,-4696.119462,889.991227,2.096,0.368,0.048
3,0.003000,18565016.945935,0.000000,18565016.945935,1.103640e-14,-483.942639,-4696.119457,889.991202,2.895,0.624,0.033
4,0.004000,18565016.945935,0.000000,18565016.945935,1.504964e-14,-483.942643,-4696.119452,889.991177,1.723,0.760,0.039
5,0.005000,18565016.945935,0.000000,18565016.945935,2.147082e-14,-483.942648,-4696.119447,889.991151,2.522,0.538,0.037
6,0.006000,18565016.945935,0.000000,18565016.945935,2.749067e-14,-483.942653,-4696.119442,889.991126,2.403,0.372,0.035
7,0.007000,18565016.945935,0.000000,18565016.945935,3.772442e-14,-483.942657,-4696.119436,889.991101,1.543,0.312,0.037
8,0.008000,18565016.945936,0.000000,18565016.945936,4.735619e-14,-483.942662,-4696.119431,889.991076,2.075,0.718,0.033
9,0.009000,18565016.945936,0.000000,18565016.945936,5.819193e-14,-483.942666,-4696.119426,889.991051,1.425,0.407,0.057
10,0.010000,18565016.945936,0.000000,18565016.945936,6.802436e-14,-483.942671,-4696.119421,889.991026,1.360,0.304,0.038
11,0.011000,18565016.945936,0.000000,18565016.945936,7.966275e-14,-483.942675,-4696.119416,889.991001,2.315,0.429,0.031
12,0.012000,18565016.945936,0.000000,18565016.945936,8.688657e-14,-483.942680,-4696.119411,889.990976,1.314,0.291,0.032
13,0.013000,18565016.945937,0.000000,18565016.945937,9.912694e-14,-483.942685,-4696.119406,889.990951,1.436,0.432,0.033
14,0.014000,18565016.945937,0.000000,18565016.945937,1.085581e-13,-483.942689,-4696.119401,889.990925,1.381,0.333,0.036
15,0.015000,18565016.945937,0.000000,18565016.945937,1.205978e-13,-483.942694,-4696.119396,889.990900,1.404,0.479,0.033
16,0.016000,18565016.945937,0.000000,18565016.945937,1.324368e-13,-483.942699,-4696.119391,889.990875,1.561,0.359,0.034
17,0.017000,18565016.945937,0.000000,18565016.945937,1.442759e-13,-483.942703,-4696.119386,889.990850,1.514,0.637,0.030
18,0.018000,18565016.945938,0.000000,18565016.945938,1.539076e-13,-483.942708,-4696.119381,889.990825,1.822,0.308,0.029
19,0.019000,18565016.945938,0.000000,18565016.945938,1.657467e-13,-483.942713,-4696.119376,889.990800,1.527,0.383,0.037
20,0.020000,18565016.945938,0.000000,18565016.945938,1.777864e-13,-483.942717,-4696.119371,889.990775,1.577,0.425,0.031
21,0.021000,18565016.945938,0.000000,18565016.945938,1.882208e-13,-483.942722,-4696.119366,889.990750,1.957,0.497,0.036
22,0.022000,18565016.945938,0.000000,18565016.945938,1.988559e-13,-483.942727,-4696.119361,889.990725,1.830,0.521,0.059
23,0.023000,18565016.945939,0.000000,18565016.945939,2.092903e-13,-483.942731,-4696.119356,889.990700,1.447,0.350,0.037
24,0.024000,18565016.945939,0.000000,18565016.945939,2.219320e-13,-483.942736,-4696.119351,889.990675,1.390,0.345,0.039
25,0.025000,18565016.945939,0.000000,18565016.945939,2.305604e-13,-483.942741,-4696.119345,889.990651,1.652,0.678,0.040
26,0.026000,18565016.945939,0.000000,18565016.945939,2.405935e-13,-483.942745,-4696.119340,889.990626,2.486,0.549,0.030
27,0.027000,18565016.945939,0.000000,18565016.945939,2.496233e-13,-483.942750,-4696.119335,889.990601,1.452,0.822,0.043
28,0.028000,18565016.945940,0.000000,18565016.945940,2.610610e-13,-483.942755,-4696.119330,889.990576,1.392,0.582,0.039
29,0.029000,18565016.945940,0.000000,18565016.945940,2.718968e-13,-483.942759,-4696.119325,889.990551,1.349,0.348,0.034
30,0.030000,18565016.945940,0.000000,18565016.945940,2.801239e-13,-483.942764,-4696.119320,889.990526,1.373,0.293,0.034
31,0.031000,18565016.945940,0.000000,18565016.945940,2.929663e-13,-483.942769,-4696.119315,889.990501,1.611,0.361,0.033
32,0.032000,18565016.945940,0.000000,18565016.945940,3.032000e-13,-483.942773,-4696.119309,889.990476,1.954,0.424,0.041
33,0.033000,18565016.945941,0.000000,18565016.945941,3.150391e-13,-483.942778,-4696.119304,889.990451,1.470,0.518,0.034
34,0.034000,18565016.945941,0.000000,18565016.945941,3.252728e-13,-483.942783,-4696.119299,889.990426,1.429,0.469,0.030
35,0.035000,18565016.945941,0.000000,18565016.945941,3.357072e-13,-483.942787,-4696.119294,889.990401,1.558,0.336,0.031
36,0.036000,18565016.945941,0.000000,18565016.945941,3.439344e-13,-483.942792,-4696.119289,889.990376,1.399,0.382,0.036
37,0.037000,18565016.945941,0.000000,18565016.945941,3.555728e-13,-483.942797,-4696.119283,889.990351,1.326,0.314,0.037
